Reference_Species	Species	Genus	Subfamily	Family	Order	Class	Phylum	Kingdom	Realm	
Reference_MZ130479	Jahgtovirus gastrointestinalis	Jahgtovirus	Churivirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130484	Jahgtovirus intestinalis	Jahgtovirus	Churivirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774377	Jahgtovirus intestinihominis	Jahgtovirus	Churivirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MN917146	Jahgtovirus secundus	Jahgtovirus	Churivirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_BK010471	Carjivirus communis	Carjivirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130481	Carjivirus hominis	Carjivirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130486	Dabirmavirus hominis	Dabirmavirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130476	Delmidovirus copri	Delmidovirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774386	Delmidovirus intestinihominis	Delmidovirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774383	Delmidovirus splanchnicus	Delmidovirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130474	Diorhovirus copri	Diorhovirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774381	Diorhovirus intestinalis	Diorhovirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130480	Drivevirus gastrointestinalis	Drivevirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130488	Endlipuvirus intestinihominis	Endlipuvirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH616963	Whopevirus animalis	Whopevirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774384	Fohxhuevirus gastrointestinalis	Fohxhuevirus	Obtuvirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774394	Hacihdavirus animalis	Hacihdavirus	Obtuvirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH552500	Wotdevirus murinus	Wotdevirus	Obtuvirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC821624	Akihdevirus balticus	Akihdevirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130483	Kahnovirus copri	Kahnovirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774390	Kahnovirus oralis	Kahnovirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH675552	Kehishuvirus primarius	Kehishuvirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774388	Kehishuvirus splanchnicus	Kehishuvirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130478	Kolpuevirus coli	Kolpuevirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774391	Kolpuevirus hominis	Kolpuevirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774387	Lahndsivirus rarus	Lahndsivirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130485	Lebriduvirus gastrointestinalis	Lebriduvirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774392	Mahlunavirus rarus	Mahlunavirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774378	Mahstovirus faecalis	Mahstovirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774389	Pamirivirus faecium	Pamirivirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KJ003983	Paundivirus hollandii	Paundivirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774385	Pipoluvirus rarus	Pipoluvirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT074136	Wulfhauvirus bangladeshii	Wulfhauvirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130499	Afonbuvirus coli	Afonbuvirus	Bearivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774401	Afonbuvirus faecalis	Afonbuvirus	Bearivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130492	Afonbuvirus intestinihominis	Afonbuvirus	Bearivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130482	Canhaevirus faecalis	Canhaevirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774382	Canhaevirus hiberniae	Canhaevirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774375	Cohcovirus hiberniae	Cohcovirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130475	Cohcovirus splanchnicus	Cohcovirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774380	Culoivirus americanus	Culoivirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130477	Culoivirus faecalis	Culoivirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774376	Culoivirus intestinalis	Culoivirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
