Reference_Species	Species	Genus	Subfamily	Family	Order	Class	Phylum	Kingdom	Realm	
Reference_MH587638	Przondovirus IME321	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR149291	Przondovirus K5	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EU734173	Przondovirus K11	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HM480846	Przondovirus K30	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY389315	Przondovirus K52	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY389316	Przondovirus K54	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_LC413193	Przondovirus KN11	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_LC413194	Przondovirus KN31	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_LC413195	Przondovirus KN41	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KT367885	Przondovirus Kp1	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GQ413937	Przondovirus KP32	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH172261	Przondovirus KP32i192	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH172262	Przondovirus KP32i194	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH172263	Przondovirus KP32i195	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH172264	Przondovirus KP32i196	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK134560	Przondovirus kpssk3	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_LN866626	Przondovirus KpV289	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX591654	Przondovirus KpV763	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX712071	Przondovirus KpV766	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX712070	Przondovirus KpV767	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK618658	Przondovirus pharr	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY652723	Przondovirus PRA33	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY450753	Przondovirus SHKp152234	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG835568	Przondovirus SHKp152410	Przondovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF285620	Teetrevirus 2050H2	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KM253764	Teetrevirus AP5	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KP313531	Teetrevirus CFP1	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KP791805	Teetrevirus E2	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KP791806	Teetrevirus E3	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX130726	Teetrevirus ECA2	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX452696	Teetrevirus KPN3	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH717709	Teetrevirus LL2	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_OL800605	Teetrevirus RPN15	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EU547803	Teetrevirus SGJL2	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU687347	Teetrevirus SH1	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU687348	Teetrevirus SH2	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX778611	Teetrevirus SM93Y	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC960671	Teetrevirus T3	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AJ318471	Teetrevirus T3Luria	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX421753	Teetrevirus T7M	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF285616	Teetrevirus tv10164302	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KT008108	Teetrevirus YeF10	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AJ251805	Teetrevirus YeO312	Teetrevirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EU734174	Teseptimavirus 13a	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH717099	Teseptimavirus C5	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KM242061	Teseptimavirus CICC80001	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG966531	Teseptimavirus ebrios	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG488277	Teseptimavirus EG1	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG832642	Teseptimavirus HZ2R8	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK542821	Teseptimavirus HZP2	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX872508	Teseptimavirus IME15	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH779619	Teseptimavirus IME390	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH717098	Teseptimavirus N30	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK310182	Teseptimavirus NCA	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_V01146	Teseptimavirus T7	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH382198	Teseptimavirus tv3A8767	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU927499	Teseptimavirus tv64795ec1	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_FR667955	Teseptimavirus Vi06	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JQ965700	Teseptimavirus YpPY	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JQ965703	Teseptimavirus YpsPG	Teseptimavirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_FR823298	Troedvirus Phi15	Troedvirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF979561	Unyawovirus DUPPII	Unyawovirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT597419	Warsawvirus 3MF5	Warsawvirus	Studiervirinae	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC310805	Aegirvirus SCBP42	Aegirvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT740728	Anchaingvirus anchaing	Anchaingvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX660669	Aqualcavirus P14	Aqualcavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013538	Ashivirus S45C4	Ashivirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF403005	Atuphduovirus atuph02	Atuphduovirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF403006	Atuphduovirus atuph03	Atuphduovirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY117485	Ayakvirus Ap1	Ayakvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013544	Ayaqvirus S45C18	Ayaqvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ316584	Banchanvirus SS1201	Banchanvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX458241	Bifseptvirus andromeda	Bifseptvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN991020	Bifseptvirus Bf7	Bifseptvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KM247287	Bonnellvirus J865	Bonnellvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK629528	Bonnellvirus lidtsur	Bonnellvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU071102	Cheungvirus NATL1A7	Cheungvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KT997847	Chosvirus KM23C739	Chosvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX483874	Cuernavacavirus RHEph02	Cuernavacavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX483879	Cuernavacavirus RHEph08	Cuernavacavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX483880	Cuernavacavirus RHEph09	Cuernavacavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG592574	Cyclitvirus cyclit	Cyclitvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG201401	Ermolevavirus PGT2	Ermolevavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN882298	Ermolevavirus PhiKT	Ermolevavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF278336	Foturvirus H44	Foturvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013545	Foussvirus S46C10	Foussvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013543	Fussvirus S30C28	Fussvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KJ749827	Gajwadongvirus ECBP5	Gajwadongvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY250034	Gajwadongvirus PP99	Gajwadongvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF979559	Gyeongsanvirus DURPI	Gyeongsanvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG711516	Gyeongsanvirus RsoP1EGY	Gyeongsanvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH540083	Igirivirus STIP37	Igirivirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU943031	Jalkavirus S08C159	Jalkavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AB854109	Jiaoyazivirus RSB3	Jiaoyazivirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX397280	Kafavirus SWcelC56	Kafavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ317388	Kajamvirus SRIP1	Kajamvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK387869	Kakivirus PS3	Kakivirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY981272	Kalppathivirus P26059B	Kalppathivirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AB597179	Kelmasvirus RSB2	Kelmasvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC310806	Kembevirus SCBP2	Kembevirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013549	Krakvirus S39C11	Krakvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KJ183191	Lauvirus lau218	Lauvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_FR687252	Limelightvirus limelight	Limelightvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ332140	Lingvirus PGSP1	Lingvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ633062	Lirvirus SCBP3	Lirvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF621978	Lullwatervirus lullwater	Lullwatervirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF754111	Maculvirus KF1	Maculvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF754112	Maculvirus KF2	Maculvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK474470	Maculvirus OWB	Maculvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_FJ896200	Maculvirus VP93	Maculvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX066068	Napahaivirus VSW3	Napahaivirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013547	Nohivirus S31C1	Nohivirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013546	Oinezvirus S37C6	Oinezvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX483873	Paadamvirus RHEph01	Paadamvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU943068	Pagavirus S05C849	Pagavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KM199771	Pairvirus Lo5R7ANS	Pairvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013539	Pedosvirus S28C3	Pedosvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU943054	Pekhitvirus S04C24	Pekhitvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC465901	Pelagivirus HTVC019P	Pelagivirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013542	Pelagivirus S35C6	Pelagivirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KT381879	Percyvirus percy	Percyvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR153873	Piedvirus IMEDE1	Piedvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU943065	Podivirus S05C243	Podivirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG775261	Pollyceevirus pollyC	Pollyceevirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HM559717	Poseidonvirus SCBP4	Poseidonvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU943073	Powvirus S08C41	Powvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU595432	Pradovirus f20	Pradovirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU595433	Pradovirus f30	Pradovirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KF626667	Pradovirus prado	Pradovirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU197013	Pradovirus XAJ24	Pradovirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF375456	Pradovirus Xc10	Pradovirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK016662	Qadamvirus SB28	Qadamvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH684921	Scottvirus scott	Scottvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ317389	Sednavirus SRIP2	Sednavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KP343639	Serkorvirus ITL1	Serkorvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013541	Sieqvirus S42C7	Sieqvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF893341	Stompelvirus RPSC1	Stompelvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013548	Stopalavirus S38C3	Stopalavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC465900	Stopavirus HTVC011P	Stopavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KT997876	Stupnyavirus KM16C193	Stupnyavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU071104	Tangaroavirus NATL2A133	Tangaroavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ337022	Tangaroavirus PSSP10	Tangaroavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU071100	Tangaroavirus tv951510a	Tangaroavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY065149	Tawavirus JSF7	Tawavirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AY939843	Tiamatvirus PSSP7	Tiamatvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AF338467	Tiilvirus P60	Tiilvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU071107	Tritonvirus PSSP2	Tritonvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ332137	Tritonvirus PSSP3	Tritonvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EF372997	Voetvirus syn5	Voetvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP013540	Votkovvirus S28C10	Votkovvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_FR751545	Waewaevirus limezero	Waewaevirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF166859	Wuhanvirus PHB01	Wuhanvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF034659	Wuhanvirus PHB02	Wuhanvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ592920	Youngvirus G1	Youngvirus	NA	Autographiviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN564907	Burkholderia virus AH2	Ahduovirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ632859	Broinstvirus pCB2051A	Broinstvirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MN062188	Cenphatecvirus saba	Cenphatecvirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY620117	Chivirus BSPM4	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX094499	Chivirus chi	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR296689	Chivirus cv35	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR296691	Chivirus cv37	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU927500	Chivirus cv118970sal1	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MW355479	Chivirus ER24	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC139519	Chivirus FSLSP030	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC139512	Chivirus FSLSP088	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC677662	Chivirus iEPS5	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG280946	Chivirus KFSSE1	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MN871450	Chivirus KpYy141	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH791395	Chivirus SeWh1	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH631453	Chivirus siskin	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN871591	Chivirus SPN19	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX765862	Chivirus ST101	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_LR026998	Chivirus YSD1	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KM366098	Salmonella virus BP12C	Chivirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MN505213	Dunedinvirus JS26	Dunedinvirus	NA	Casjensviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
