Species	Species	Genus	Subfamily	Family	Order	Class	Phylum	Kingdom	Realm	
MK370036	Epseptimavirus ev123	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN218191	Epseptimavirus ev129	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK393882	Epseptimavirus ev329	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074450	Epseptimavirus faergetype	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074458	Epseptimavirus fuchur	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF681663	Epseptimavirus LVR16A	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
LR027389	Epseptimavirus mar003J3	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074465	Epseptimavirus oselot	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN187969	Epseptimavirus OSYSTA	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
HE956708	Epseptimavirus R201	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
OL800604	Epseptimavirus RN29	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074457	Epseptimavirus rokbiter	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH370366	Epseptimavirus S113	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH370367	Epseptimavirus S114	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH370369	Epseptimavirus S116	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH370375	Epseptimavirus S124	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH370376	Epseptimavirus S126	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH370379	Epseptimavirus S132	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH370380	Epseptimavirus S133	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH370386	Epseptimavirus S147	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF431737	Epseptimavirus saus132	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK947459	Epseptimavirus SB13	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK972707	Epseptimavirus SE24	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK050846	Epseptimavirus seafire	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK728825	Epseptimavirus sepoy	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF001363	Epseptimavirus SH9	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK005300	Epseptimavirus STG2	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KM236244	Epseptimavirus stitch	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH631454	Epseptimavirus Sw2	Epseptimavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
HQ665011	Tequintavirus AKFV33	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KR422353	Tequintavirus APCEc03	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
AJ604530	Tequintavirus BF23	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF431730	Tequintavirus chee24	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KM979355	Tequintavirus DT5712	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KM979354	Tequintavirus DT57C	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KJ190157	Tequintavirus FFH1	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH745368	Tequintavirus fp01	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH203051	Tequintavirus gostya9	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
AC171169	Tequintavirus H8	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK373796	Tequintavirus HdH2	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN956514	Tequintavirus L6jm	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KY677846	Tequintavirus LLS	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
LR027384	Tequintavirus mar004NP2	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN970211	Tequintavirus NBEco001	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN994496	Tequintavirus NBEco002	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN994502	Tequintavirus NBSal003	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN994504	Tequintavirus NBSal005	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KR233164	Tequintavirus NR01	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074448	Tequintavirus oldekolle	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF402939	Tequintavirus OSYSP	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH370378	Tequintavirus S131	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK972715	Tequintavirus SE11	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KP143763	Tequintavirus shivani	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KX130863	Tequintavirus SHSML45	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
LN887948	Tequintavirus slur09	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KY114934	Tequintavirus SP01	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG387042	Tequintavirus SP3	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
AP019559	Tequintavirus SP15	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
HQ406778	Tequintavirus SPC35	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KY963424	Tequintavirus SSP1	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
AY543070	Tequintavirus T5	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN026741	Tequintavirus Th1	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN316588	Tequintavirus VEc33	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN022787	Tequintavirus VSe12	Tequintavirus	Markadamsvirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF979564	Hongcheonvirus DUPPV	Hongcheonvirus	Mccorquodalevirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JX195166	Myunavirus My1	Myunavirus	Mccorquodalevirinae	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG030347	Novosibvirus PM135	Novosibvirus	NA	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH830339	Novosibvirus stubb	Novosibvirus	NA	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH645904	Pogseptimavirus PG07	Pogseptimavirus	NA	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH925094	Pogseptimavirus VspSw1	Pogseptimavirus	NA	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KY363465	Priunavirus PR1	Priunavirus	NA	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MW057857	Priunavirus PSTCR5	Priunavirus	NA	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG676224	Shenzhenvirus AhSzq1	Shenzhenvirus	NA	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG676225	Shenzhenvirus AhSzw1	Shenzhenvirus	NA	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KX845404	Sugarlandvirus IME260	Sugarlandvirus	NA	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG459987	Sugarlandvirus sugarland	Sugarlandvirus	NA	Demerecviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK372342	Christensenvirus IME542	Christensenvirus	Braunvirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JN986845	Guelphvirus ACGM12	Guelphvirus	Braunvirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KY398841	Guelphvirus EC3a	Guelphvirus	Braunvirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG050172	Loudonvirus DTL	Loudonvirus	Braunvirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KX130960	Rtpvirus IME253	Rtpvirus	Braunvirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
AM156909	Rtpvirus Rtp	Rtpvirus	Braunvirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK907226	Veterinaerplatzvirus vv12210I	Veterinaerplatzvirus	Braunvirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF158039	Eastlansingvirus Sf12	Eastlansingvirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JF770475	Lindendrivevirus EB49	Lindendrivevirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KF771237	Rogunavirus AHP42	Rogunavirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KF771238	Rogunavirus AHS24	Rogunavirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KF771239	Rogunavirus AKS96	Rogunavirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KT825490	Rogunavirus C119	Rogunavirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KJ668713	Rogunavirus E41c	Rogunavirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
DQ121662	Rogunavirus Jk06	Rogunavirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC333879	Rogunavirus JLA23	Rogunavirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC579452	Rogunavirus KP26	Rogunavirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JQ182736	Rogunavirus rogue1	Rogunavirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF158042	Wilsonroadvirus Sd1	Wilsonroadvirus	Rogunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN090155	Changchunvirus PHB17	Changchunvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK778457	Changchunvirus W011D	Changchunvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850591	Hanrivervirus aalborv	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850572	Hanrivervirus aaroes	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850602	Hanrivervirus damhaus	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850607	Hanrivervirus egaa	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK373798	Hanrivervirus G292	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850567	Hanrivervirus grams	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850600	Hanrivervirus haarsle	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN055691	Hanrivervirus henu8	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850640	Hanrivervirus herni	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT360681	Hanrivervirus hv2019SD1	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT127619	Hanrivervirus PGN590	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC710998	Hanrivervirus pSf1	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074433	Hanrivervirus slyngel	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850569	Hanrivervirus vojen	Hanrivervirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN019128	Henuseptimavirus henu7	Henuseptimavirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KY694971	Tlsvirus DK2017	Tlsvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH491968	Tlsvirus LL5	Tlsvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH102284	Tlsvirus PHB07	Tlsvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KX015770	Tlsvirus phSE2	Tlsvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH729819	Tlsvirus sazh	Tlsvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC139513	Tlsvirus SP126	Tlsvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KM236241	Tlsvirus stevie	Tlsvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
AY308796	Tlsvirus TLS	Tlsvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KR296690	Tlsvirus tv36	Tlsvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG241338	Tlsvirus YSP2	Tlsvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850620	Warwickvirus atuna	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK962751	Warwickvirus JK16	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
LR027388	Warwickvirus mar001J1	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
LT961732	Warwickvirus SECphi27	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
LR596614	Warwickvirus SLUR29	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
LT841304	Warwickvirus swan01	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850643	Warwickvirus tiwna	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850641	Warwickvirus tonijn	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850596	Warwickvirus tonn	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850613	Warwickvirus tonnikala	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN850638	Warwickvirus tunus	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF564201	Warwickvirus wv95	Warwickvirus	Tempevirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH051918	Badaguanvirus IME347	Badaguanvirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF996376	Sertoctavirus SRT8	Sertoctavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JX912252	Tunavirus ADB2	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH285980	Tunavirus BIFF	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
LC516895	Tunavirus DELF2	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH051911	Tunavirus IME18	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG049919	Tunavirus ISF001	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF093736	Tunavirus ISF002	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KU194206	Tunavirus JMPW1	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KU194205	Tunavirus JMPW2	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KP085586	Tunavirus PSf2	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MF468274	Tunavirus Sfin1	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN296515	Tunavirus Sfin3	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KY985004	Tunavirus SH2	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KX828710	Tunavirus SH6	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
HM035024	Tunavirus Shfl1	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
AY216660	Tunavirus T1	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK335533	Tunavirus tv008	Tunavirus	Tunavirinae	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG732930	Eclunavirus EcL1	Eclunavirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN545971	Hicfunavirus HCF1	Hicfunavirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT360682	Jhansiroadvirus gwaliVC1	Jhansiroadvirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH845412	Kyungwonvirus CS01	Kyungwonvirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JF912400	Kyungwonvirus Esp29491	Kyungwonvirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KY619305	Nouzillyvirus ESCO41	Nouzillyvirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK095606	Sauletekiovirus AAS23	Sauletekiovirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KX130668	Vilniusvirus NBD2	Vilniusvirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN013083	Webervirus alina	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN013079	Webervirus call	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN013075	Webervirus domnhall	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JN672684	Webervirus F20	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK521904	Webervirus FZ10	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH844531	Webervirus GHK3	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN013076	Webervirus IMGroot	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG894052	Webervirus JY917	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN379832	Webervirus KL	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KR262148	Webervirus KLPN1	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN689779	Webervirus KLPPOU149	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KY780482	Webervirus KOX1	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JF501022	Webervirus KP36	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN783016	Webervirus KP1801	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG552615	Webervirus KpCol1	Webervirus	NA	Drexlerviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
