Species	Species	Genus	Subfamily	Family	Order	Class	Phylum	Kingdom	Realm	
MT774377	Jahgtovirus intestinihominis	Jahgtovirus	Churivirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN917146	Jahgtovirus secundus	Jahgtovirus	Churivirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
BK010471	Carjivirus communis	Carjivirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130481	Carjivirus hominis	Carjivirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130486	Dabirmavirus hominis	Dabirmavirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130476	Delmidovirus copri	Delmidovirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774386	Delmidovirus intestinihominis	Delmidovirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774383	Delmidovirus splanchnicus	Delmidovirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130474	Diorhovirus copri	Diorhovirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774381	Diorhovirus intestinalis	Diorhovirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130480	Drivevirus gastrointestinalis	Drivevirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130488	Endlipuvirus intestinihominis	Endlipuvirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH616963	Whopevirus animalis	Whopevirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774384	Fohxhuevirus gastrointestinalis	Fohxhuevirus	Obtuvirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774394	Hacihdavirus animalis	Hacihdavirus	Obtuvirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH552500	Wotdevirus murinus	Wotdevirus	Obtuvirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC821624	Akihdevirus balticus	Akihdevirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130483	Kahnovirus copri	Kahnovirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774390	Kahnovirus oralis	Kahnovirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH675552	Kehishuvirus primarius	Kehishuvirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774388	Kehishuvirus splanchnicus	Kehishuvirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130478	Kolpuevirus coli	Kolpuevirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774391	Kolpuevirus hominis	Kolpuevirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774387	Lahndsivirus rarus	Lahndsivirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130485	Lebriduvirus gastrointestinalis	Lebriduvirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774392	Mahlunavirus rarus	Mahlunavirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774378	Mahstovirus faecalis	Mahstovirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774389	Pamirivirus faecium	Pamirivirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KJ003983	Paundivirus hollandii	Paundivirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774385	Pipoluvirus rarus	Pipoluvirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074136	Wulfhauvirus bangladeshii	Wulfhauvirus	Asinivirinae	Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130499	Afonbuvirus coli	Afonbuvirus	Bearivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774401	Afonbuvirus faecalis	Afonbuvirus	Bearivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130492	Afonbuvirus intestinihominis	Afonbuvirus	Bearivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130482	Canhaevirus faecalis	Canhaevirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774382	Canhaevirus hiberniae	Canhaevirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774375	Cohcovirus hiberniae	Cohcovirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130475	Cohcovirus splanchnicus	Cohcovirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774380	Culoivirus americanus	Culoivirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130477	Culoivirus faecalis	Culoivirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774376	Culoivirus intestinalis	Culoivirus	Boorivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774396	Blohavirus americanus	Blohavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130495	Blohavirus faecalis	Blohavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774403	Buchavirus coli	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774395	Buchavirus copri	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774397	Buchavirus faecalis	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130498	Buchavirus hiberniae	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774398	Buchavirus hominis	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130493	Buchavirus intestinalis	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130496	Buchavirus oralis	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774399	Buchavirus splanchnicus	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774400	Buorbuivirus hominis	Buorbuivirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130491	Bohxovirus oralis	Bohxovirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774411	Buhlduvirus animalis	Buhlduvirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774410	Buhlduvirus porcinus	Buhlduvirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774402	Burzaovirus coli	Burzaovirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774406	Burzaovirus faecalis	Burzaovirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130497	Burzaovirus intestinihominis	Burzaovirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774409	Cacepaovirus simiae	Cacepaovirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774408	Chuhaivirus simiae	Chuhaivirus	Oafivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130500	Aurodevirus hiberniae	Aurodevirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774407	Aurodevirus hominis	Aurodevirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774404	Aurodevirus intestinalis	Aurodevirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774379	Besingivirus coli	Besingivirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT774405	Birpovirus hiberniae	Birpovirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ130494	Birpovirus hominis	Birpovirus	Uncouvirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
AP017903	Dechshavirus japanensis	Dechshavirus	NA	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
ON649701	Mathaucavirus yangshanense	Mathaucavirus	NA	Yangangviridae	Juravirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
ON649699	Nohelivirus yangshanense	Nohelivirus	NA	Yangangviridae	Juravirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
ON649700	Senitvirus yangshanense	Senitvirus	NA	Yangangviridae	Juravirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
ON649698	Sweetvirus yangshanense	Sweetvirus	NA	Yanlukaviridae	Juravirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
AM419438	Beejeyvirus BJ1	Beejeyvirus	NA	Graaviviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
HQ332141	Seejivirus CGphi46	Seejivirus	NA	Graaviviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ334526	Dpdavirus HRTV29	Dpdavirus	NA	Haloferuviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG550112	Retbasiphovirus HFTV1	Retbasiphovirus	NA	Haloferuviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC292023	Saldibavirus HRTV4	Saldibavirus	NA	Haloferuviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ334527	Hatrivirus HATV3	Hatrivirus	NA	Pyrstoviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC117378	Lonfivirus HSTV1	Lonfivirus	NA	Shortaselviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
ON649702	Aobingvirus yangshanense	Aobingvirus	NA	Aoguangviridae	Magrovirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH674343	Metforvirus Drs3	Metforvirus	NA	Anaerodiviridae	Methanobavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
AF065411	Psimunavirus psiM2	Psimunavirus	NA	Leisingerviridae	Methanobavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
OP413838	Kisinvirus pescaderoense	Kisinvirus	NA	Ahpuchviridae	Nakonvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
OP880252	Kukulkanvirus guaymasense	Kukulkanvirus	NA	Ekchuahviridae	Nakonvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
OP880253	Kukulkanvirus mexicoense	Kukulkanvirus	NA	Ekchuahviridae	Nakonvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC292029	Hacavirus HCTV1	Hacavirus	NA	Druskaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC117377	Tredecimvirus HVTV1	Tredecimvirus	NA	Druskaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
AY190604	Haloferacalesvirus HF1	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ334513	Haloferacalesvirus HJTV2	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC292022	Haloferacalesvirus HRTV5	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC292020	Haloferacalesvirus HRTV8	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ334496	Haloferacalesvirus HRTV10	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ334501	Haloferacalesvirus HSTV4	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MN901521	Haloferacalesvirus Serpecor1	Haloferacalesvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ334521	Laminvirus HRTV25	Laminvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC117376	Mincapvirus HSTV2	Mincapvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ334522	Minorvirus HRTV27	Minorvirus	NA	Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KC292026	Hagravirus HGTV1	Hagravirus	NA	Halomagnusviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MZ334525	Eilatmyovirus HATV2	Eilatmyovirus	NA	Soleiviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
FJ373894	Agtrevirus AG3	Agtrevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
LC373201	Agtrevirus EM4	Agtrevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK509462	Agtrevirus MK13	Agtrevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT078988	Agtrevirus P46FS4	Agtrevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JX181829	Agtrevirus SKML39	Agtrevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
HE600015	Limestonevirus limestone	Limestonevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KJ716335	Limestonevirus RC2014	Limestonevirus	Aglimvirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074474	Kuttervirus aagejoakim	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074471	Kuttervirus allotria	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074477	Kuttervirus barely	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074472	Kuttervirus bering	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KY787213	Kuttervirus BSP101	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JN593240	Kuttervirus CBA120	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KP797973	Kuttervirus Det7	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
